phenotype	snp	adjustment	beta	SE	OR	p	type	n_total	n_cases	n_controls	HWE_p	allele_freq	n_no_snp	note	p.value	bonferroni	fdr	description	group
8	rs4266947_T	NA	-0.210503211	0.582410769	0.810176454	0.717774834	logistic	7649	79	7570	0.989392973	0.022878808	38		FALSE	FALSE	FALSE	Intestinal infection	infectious diseases
8.5	rs4266947_T	NA	-0.66151444	1.004966446	0.516069187	0.51038052	logistic	7610	40	7570	0.990018703	0.022864652	38		FALSE	FALSE	FALSE	Bacterial enteritis	infectious diseases
8.51	rs4266947_T	NA	NA	NA	NA	NA	NA	7570	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Intestinal e.coli	infectious diseases
8.52	rs4266947_T	NA	NA	NA	NA	NA	logistic	7574	4	7570	0.990118944	0.022907314	38	 [Error: < 15  cases or controls]	NA	NA	NA	Intestinal infection due to C. difficile	infectious diseases
8.6	rs4266947_T	NA	0.374208737	0.722010666	1.453840588	0.604258047	logistic	7600	30	7570	0.989327937	0.022960526	38		FALSE	FALSE	FALSE	Viral Enteritis	infectious diseases
8.7	rs4266947_T	NA	NA	NA	NA	NA	NA	7570	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Intestinal infection due to protozoa	infectious diseases
10	rs4266947_T	NA	-0.380604684	1.014773805	0.683448014	0.707613191	logistic	7593	30	7563	0.990872044	0.022784143	38		FALSE	FALSE	FALSE	Tuberculosis	infectious diseases
31	rs4266947_T	NA	NA	NA	NA	NA	NA	7563	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Diseases due to other mycobacteria	infectious diseases
31.1	rs4266947_T	NA	NA	NA	NA	NA	NA	7563	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Leprosy	infectious diseases
38	rs4266947_T	NA	0.628867132	0.50568324	1.875484698	0.213647214	logistic	7610	47	7563	0.989458803	0.022930355	38		FALSE	FALSE	FALSE	Septicemia	infectious diseases
38.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7566	3	7563	0.991069217	0.022799366	38	 [Error: < 15  cases or controls]	NA	NA	NA	Gram negative septicemia	infectious diseases
38.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	7567	4	7563	0.990032104	0.022928505	38	 [Error: < 15  cases or controls]	NA	NA	NA	Gram positive septicemia	infectious diseases
