phenotype	snp	adjustment	beta	SE	OR	p	type	n_total	n_cases	n_controls	HWE_p	allele_freq	n_no_snp	note	p.value	bonferroni	fdr	description	group
008	rs4266947_T	NA	0.0175978874757227	0.0610135814412389	1.01775364260987	0.773020865602367	logistic	428858	2742	426116	0.687432534460407	0.0508734825979695	2509		FALSE	FALSE	FALSE	Intestinal infection	infectious diseases
008.5	rs4266947_T	NA	0.142604353064211	0.0797720910848328	1.15327342229376	0.0738329497376793	logistic	427550	1434	426116	0.678560160445487	0.0508911238451643	2501		FALSE	FALSE	FALSE	Bacterial enteritis	infectious diseases
008.51	rs4266947_T	NA	-0.0634593145359762	0.724197512487853	0.938512302332424	0.930173076947971	logistic	426137	21	426116	0.651184541247748	0.0508650973747879	2494		FALSE	FALSE	FALSE	Intestinal e.coli	infectious diseases
008.52	rs4266947_T	NA	0.22257115737552	0.172258349804825	1.24928471230934	0.196330267965145	logistic	426404	288	426116	0.651592091229431	0.0508731156368139	2498		FALSE	FALSE	FALSE	Intestinal infection due to C. difficile	infectious diseases
008.6	rs4266947_T	NA	-0.0194353782852712	0.111493177600797	0.980752271034395	0.861614774634885	logistic	426963	847	426116	0.668147956752327	0.0508638921873792	2498		FALSE	FALSE	FALSE	Viral Enteritis	infectious diseases
008.7	rs4266947_T	NA	-0.410163399705447	0.588018589236184	0.663541818739998	0.485468199993099	logistic	426159	43	426116	0.651086300451679	0.0508636447898554	2494		FALSE	FALSE	FALSE	Intestinal infection due to protozoa	infectious diseases
010	rs4266947_T	NA	-0.0372720431891	0.459468077209338	0.963414009476329	0.93534653292453	logistic	426056	50	426006	0.652104674905639	0.050871246972229	2495		FALSE	FALSE	FALSE	Tuberculosis	infectious diseases
031	rs4266947_T	NA	NA	NA	NA	NA	logistic	426016	10	426006	0.6513153708979	0.0508725024412229	2495	 [Error: < 15  cases or controls]	NA	NA	NA	Diseases due to other mycobacteria	infectious diseases
031.1	rs4266947_T	NA	NA	NA	NA	NA	NA	426006	NA	NA	NA	NA	2495	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Leprosy	infectious diseases
038	rs4266947_T	NA	0.0217643686159101	0.0630064835453393	1.02200294012898	0.72977066149817	logistic	428588	2582	426006	0.694734145577659	0.0508775327354009	2509		FALSE	FALSE	FALSE	Septicemia	infectious diseases
038.1	rs4266947_T	NA	-0.0284662271587905	0.296142605951208	0.971935118602272	0.923422585644747	logistic	426127	121	426006	0.638413888906693	0.0508709844717655	2495		FALSE	FALSE	FALSE	Gram negative septicemia	infectious diseases
038.2	rs4266947_T	NA	-0.218425775530302	0.240915799409704	0.803783137607722	0.364593084524527	logistic	426223	217	426006	0.655773747755282	0.0508665651548603	2496		FALSE	FALSE	FALSE	Gram positive septicemia	infectious diseases
038.3	rs4266947_T	NA	NA	NA	NA	NA	NA	426006	NA	NA	NA	NA	2495	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Bacteremia	infectious diseases
041	rs4266947_T	NA	-0.154568717512915	0.223445298500663	0.856784614011362	0.489093126154302	logistic	426244	238	426006	0.64096161163353	0.0508675781946491	2496		FALSE	FALSE	FALSE	Bacterial infection NOS	infectious diseases
041.1	rs4266947_T	NA	-0.296891703071233	0.589141654114655	0.743124486103868	0.614303948778758	logistic	426045	39	426006	0.650924779646478	0.0508702132403854	2495		FALSE	FALSE	FALSE	Staphylococcus infections	infectious diseases
041.11	rs4266947_T	NA	NA	NA	NA	NA	logistic	426008	2	426006	0.650008228868983	0.0508711104016826	2495	 [Error: < 15  cases or controls]	NA	NA	NA	Methicillin sensitive Staphylococcus aureus	infectious diseases
041.12	rs4266947_T	NA	NA	NA	NA	NA	NA	426006	NA	NA	NA	NA	2495	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Methicillin resistant Staphylococcus aureus	infectious diseases
041.2	rs4266947_T	NA	0.0908990865797994	0.515848341034971	1.09515848349376	0.860126756005118	logistic	426042	36	426006	0.65186949286392	0.0508717450392215	2495		FALSE	FALSE	FALSE	Streptococcus infection	infectious diseases
041.21	rs4266947_T	NA	NA	NA	NA	NA	logistic	426007	1	426006	0.650050057671791	0.0508712298154725	2495	 [Error: < 15  cases or controls]	NA	NA	NA	Rheumatic fever / chorea	infectious diseases
041.4	rs4266947_T	NA	NA	NA	NA	NA	logistic	426007	1	426006	0.650050057671791	0.0508712298154725	2495	 [Error: < 15  cases or controls]	NA	NA	NA	E. coli	infectious diseases
041.8	rs4266947_T	NA	NA	NA	NA	NA	NA	426006	NA	NA	NA	NA	2495	 [Error: non-varying phenotype or genotype]	NA	NA	NA	H. pylori	infectious diseases
041.9	rs4266947_T	NA	NA	NA	NA	NA	NA	426006	NA	NA	NA	NA	2495	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Infection with drug-resistant microorganisms	infectious diseases
053	rs4266947_T	NA	-0.584351292726223	0.253813239146971	0.557467377683305	0.0213189099018632	logistic	425630	274	425356	0.654039974575796	0.0508058642482908	2491		TRUE	FALSE	FALSE	Herpes zoster	infectious diseases
053.1	rs4266947_T	NA	-1.34136581659801	0.71201191187411	0.261488279539561	0.0595772537742276	logistic	425428	72	425356	0.650988677937943	0.050813533664921	2491		FALSE	FALSE	FALSE	Herpes zoster with nervous system complications	infectious diseases
054	rs4266947_T	NA	-0.467317619878821	0.71997658428848	0.626681012451258	0.516290960761668	logistic	425386	30	425356	0.65273874308022	0.0508185506810285	2490		FALSE	FALSE	FALSE	Herpes simplex	infectious diseases
070	rs4266947_T	NA	0.0270155310766598	0.182154889442307	1.0273837590155	0.882097519747972	logistic	425660	304	425356	0.615810501509738	0.0508210778555655	2492		FALSE	FALSE	FALSE	Viral hepatitis	infectious diseases
070.1	rs4266947_T	NA	0.501756843419121	0.52288329741212	1.65162036169332	0.337258464789049	logistic	425381	25	425356	0.638086628325301	0.0508214988445652	2490		FALSE	FALSE	FALSE	Viral hepatitis A	infectious diseases
070.2	rs4266947_T	NA	-0.0867804941708358	0.512927482385439	0.91687833368476	0.86564981218244	logistic	425397	41	425356	0.653915954829475	0.0508195873501694	2490		FALSE	FALSE	FALSE	Viral hepatitis B	infectious diseases
070.3	rs4266947_T	NA	0.0196493381360711	0.243041208981686	1.01984365703984	0.93556302274343	logistic	425528	172	425356	0.643540202297115	0.0508203925476114	2492		FALSE	FALSE	FALSE	Viral hepatitis C	infectious diseases
070.4	rs4266947_T	NA	0.151542587696848	0.21526958364122	1.16362785698487	0.481453600492239	logistic	425553	197	425356	0.662871877952982	0.0508232817063915	2492		FALSE	FALSE	FALSE	Chronic hepatitis	infectious diseases
070.9	rs4266947_T	NA	0.191808845459624	0.243594615055116	1.21143892277999	0.431041871603563	logistic	425503	147	425356	0.660896710843262	0.0508233784485656	2492		FALSE	FALSE	FALSE	Hepatitis NOS	infectious diseases
